	Source	Target	Group_Name	18+	Members	Pool_Counts
315	25076731@N05	615270@N22	&quot;Unlimited Photos: No Rules&quot;	0	32767	6842052
316	25076731@N05	608571@N22	&quot;Women Portraits&quot;	0	14485	449856
317	25076731@N05	1009804@N25	MONOCHROME AWARD - Admin invite - Post 1 and award 2 ,Join new C	0	16943	431162
318	25076731@N05	20866913@N00	* Black * Black * Black *	0	5354	212993
319	25076731@N05	26328425@N00	* CityScapes &amp; City Life	0	28877	1006332
320	25076731@N05	783934@N25	*****Street Photography*****	0	31103	1507832
321	25076731@N05	1136489@N22	***Flickr Global	0	55156	5047778
322	25076731@N05	715137@N23	***SCREAM OF THE PHOTOGRAPHER***	0	54260	3256001
323	25076731@N05	1017204@N22	**Heart Awards** (P.1 Award 5)  Open - Sweeper present	0	36863	1336914
324	25076731@N05	988924@N21	**Platinum Heart Awards** (Only with 8+Heart Awards Invitation!)	0	14946	232696
325	25076731@N05	19126019@N00	*Animal Photography*	0	34291	1205119
326	25076731@N05	81019155@N00	*Beautiful Girls* ~ No 30/60 rule	0	35507	877075
327	25076731@N05	368821@N21	*SHINING★STAR - Post 1- Give 5 Stars	0	28610	987107
328	25076731@N05	12488258@N00	+ Plushies ( 毛绒玩具,ぬいぐるみ )	0	2934	51077
329	25076731@N05	24675034@N00	50mm (The original 50mm group)	0	64742	1503910
330	25076731@N05	1755214@N23	` FLICKR ´	0	34746	3032080
331	25076731@N05	311589@N24	A Better B&amp;W Group	0	16147	903117
332	25076731@N05	3554428@N22	A LONG WALK IN THE WORLD. VINTAGE	0	2559	98571
333	25076731@N05	2603257@N25	A Smartphone Generation - NO 30/60 Limit	0	87	1896
334	25076731@N05	92938852@N00	Adobe Lightroom	0	26676	77042
335	25076731@N05	52253782@N00	After Dark - Night Photography	0	49713	1001523
336	25076731@N05	99082094@N00	All About Asia	0	6354	584753
337	25076731@N05	35025468@N00	All Animals	0	54987	1934653
338	25076731@N05	661812@N25	ALL CATS -- NO PEOPLE	0	30652	365328
339	25076731@N05	709202@N21	ALL CATS ALLOWED!!!	0	21096	355397
340	25076731@N05	2952449@N23	All Free Pictures (Creative Commons and Public Domain)	0	6321	295753
341	25076731@N05	70823775@N00	All People	0	117331	4239362
342	25076731@N05	1035536@N24	All Street Photography	0	22191	1545351
343	25076731@N05	26058684@N00	Amateur Digital Photography/Help and Ideas	0	21319	1119050
344	25076731@N05	43501458@N00	Amateurs	0	93808	7881412
345	25076731@N05	37148576@N00	Animal Closeups	0	17077	497963
346	25076731@N05	47643757@N00	Animal Planet	0	80089	1415797
347	25076731@N05	387770@N21	Animals (All Kinds)	0	42846	1237248
348	25076731@N05	909808@N21	Apartments , Apartments , Apartments	0	408	5223
349	25076731@N05	911721@N24	MAGNIFICENT SHIPS	0	1928	65429
350	25076731@N05	39804613888@N01	Architecture	0	103226	1880089
351	25076731@N05	19328610@N00	Architecture and Buildings	0	9490	681230
352	25076731@N05	370213@N21	Architecture Directory	0	27083	969670
353	25076731@N05	58615245@N00	Architecture of Days Gone By	0	4301	273648
354	25076731@N05	33781353@N00	Art Deco	0	3862	42731
355	25076731@N05	32175857@N00	Artillery	0	1572	28257
356	25076731@N05	58898522@N00	Artistic Photography	0	141901	6092755
357	25076731@N05	1225214@N25	artland	0	42908	1366765
358	25076731@N05	86948549@N00	Asia Portraits - 亞洲人像創作 -	0	8005	178483
359	25076731@N05	829256@N23	ASIA URBAN/STREET PHOTOGRAPHY	0	2888	157205
360	25076731@N05	40461189@N00	Asian	0	4983	64877
361	25076731@N05	53607846@N00	Asian Beauty:中国 日本 韩国 Malay Pinay Sing 台灣 Thai	0	24695	446959
362	25076731@N05	48834600@N00	Asian Female Beauty	0	10898	78669
363	25076731@N05	80967265@N00	Asian Girls: your original work only, no photos found on the web	0	11441	126499
